volt    param        param
         1/lx8(mp)     -i(mp)
1.61300     7.771e+08    1.700e-09
1.61200     7.571e+08    1.746e-09
1.61100     7.375e+08    1.792e-09
1.61000     7.185e+08    1.840e-09
1.60900     6.999e+08    1.889e-09
1.60800     6.819e+08    1.939e-09
1.60700     6.643e+08    1.991e-09
1.60600     6.472e+08    2.044e-09
1.60500     6.305e+08    2.098e-09
1.60400     6.142e+08    2.154e-09
1.60300     5.984e+08    2.212e-09
1.60200     5.830e+08    2.270e-09
1.60100     5.680e+08    2.331e-09
1.60000     5.534e+08    2.393e-09
1.59900     5.391e+08    2.457e-09
1.59800     5.253e+08    2.522e-09
1.59700     5.118e+08    2.589e-09
1.59600     4.986e+08    2.658e-09
1.59500     4.858e+08    2.728e-09
1.59400     4.733e+08    2.801e-09
1.59300     4.612e+08    2.875e-09
1.59200     4.493e+08    2.952e-09
1.59100     4.378e+08    3.030e-09
1.59000     4.266e+08    3.110e-09
1.58900     4.156e+08    3.193e-09
1.58800     4.050e+08    3.278e-09
1.58700     3.946e+08    3.365e-09
1.58600     3.845e+08    3.454e-09
1.58500     3.747e+08    3.546e-09
1.58400     3.651e+08    3.640e-09
1.58300     3.557e+08    3.736e-09
1.58200     3.466e+08    3.835e-09
1.58100     3.378e+08    3.937e-09
1.58000     3.291e+08    4.041e-09
1.57900     3.207e+08    4.148e-09
1.57800     3.125e+08    4.257e-09
1.57700     3.046e+08    4.370e-09
1.57600     2.968e+08    4.486e-09
1.57500     2.892e+08    4.604e-09
1.57400     2.819e+08    4.726e-09
1.57300     2.747e+08    4.851e-09
1.57200     2.677e+08    4.979e-09
1.57100     2.609e+08    5.111e-09
1.57000     2.542e+08    5.245e-09
1.56900     2.478e+08    5.384e-09
1.56800     2.415e+08    5.526e-09
1.56700     2.353e+08    5.672e-09
1.56600     2.293e+08    5.821e-09
1.56500     2.235e+08    5.975e-09
1.56400     2.178e+08    6.132e-09
1.56300     2.123e+08    6.294e-09
1.56200     2.069e+08    6.459e-09
1.56100     2.017e+08    6.629e-09
1.56000     1.966e+08    6.804e-09
1.55900     1.916e+08    6.983e-09
1.55800     1.868e+08    7.166e-09
1.55700     1.820e+08    7.355e-09
1.55600     1.774e+08    7.548e-09
1.55500     1.730e+08    7.746e-09
1.55400     1.686e+08    7.950e-09
1.55300     1.643e+08    8.158e-09
1.55200     1.602e+08    8.372e-09
1.55100     1.561e+08    8.592e-09
1.55000     1.522e+08    8.817e-09
1.54900     1.484e+08    9.048e-09
1.54800     1.446e+08    9.285e-09
1.54700     1.410e+08    9.528e-09
1.54600     1.375e+08    9.778e-09
1.54500     1.340e+08    1.003e-08
1.54400     1.306e+08    1.030e-08
