amps        rds          id
8.7096e-08    1.951e+07    8.710e-08
8.9125e-08    1.907e+07    8.913e-08
9.1201e-08    1.864e+07    9.120e-08
9.3325e-08    1.821e+07    9.333e-08
9.5499e-08    1.780e+07    9.550e-08
9.7724e-08    1.739e+07    9.772e-08
1.0000e-07    1.700e+07    1.000e-07
1.0233e-07    1.661e+07    1.023e-07
1.0471e-07    1.623e+07    1.047e-07
1.0715e-07    1.586e+07    1.072e-07
1.0965e-07    1.550e+07    1.096e-07
1.1220e-07    1.515e+07    1.122e-07
1.1482e-07    1.480e+07    1.148e-07
1.1749e-07    1.446e+07    1.175e-07
1.2023e-07    1.414e+07    1.202e-07
1.2303e-07    1.381e+07    1.230e-07
1.2589e-07    1.350e+07    1.259e-07
1.2882e-07    1.319e+07    1.288e-07
1.3183e-07    1.289e+07    1.318e-07
1.3490e-07    1.260e+07    1.349e-07
1.3804e-07    1.231e+07    1.380e-07
1.4125e-07    1.203e+07    1.413e-07
1.4454e-07    1.176e+07    1.445e-07
1.4791e-07    1.149e+07    1.479e-07
1.5136e-07    1.123e+07    1.514e-07
1.5488e-07    1.097e+07    1.549e-07
1.5849e-07    1.072e+07    1.585e-07
1.6218e-07    1.048e+07    1.622e-07
1.6596e-07    1.024e+07    1.660e-07
1.6982e-07    1.001e+07    1.698e-07
1.7378e-07    9.782e+06    1.738e-07
1.7783e-07    9.559e+06    1.778e-07
1.8197e-07    9.342e+06    1.820e-07
1.8621e-07    9.129e+06    1.862e-07
1.9055e-07    8.921e+06    1.905e-07
1.9498e-07    8.718e+06    1.950e-07
1.9953e-07    8.520e+06    1.995e-07
2.0417e-07    8.326e+06    2.042e-07
2.0893e-07    8.136e+06    2.089e-07
2.1380e-07    7.951e+06    2.138e-07
2.1878e-07    7.770e+06    2.188e-07
2.2387e-07    7.593e+06    2.239e-07
2.2909e-07    7.420e+06    2.291e-07
2.3442e-07    7.251e+06    2.344e-07
2.3988e-07    7.086e+06    2.399e-07
2.4547e-07    6.925e+06    2.455e-07
2.5119e-07    6.767e+06    2.512e-07
2.5704e-07    6.613e+06    2.570e-07
2.6303e-07    6.463e+06    2.630e-07
2.6915e-07    6.316e+06    2.692e-07
2.7542e-07    6.172e+06    2.754e-07
2.8184e-07    6.031e+06    2.818e-07
2.8840e-07    5.894e+06    2.884e-07
2.9512e-07    5.760e+06    2.951e-07
3.0200e-07    5.629e+06    3.020e-07
3.0903e-07    5.501e+06    3.090e-07
3.1623e-07    5.375e+06    3.162e-07
3.2359e-07    5.253e+06    3.236e-07
3.3113e-07    5.133e+06    3.311e-07
3.3884e-07    5.017e+06    3.388e-07
3.4674e-07    4.902e+06    3.467e-07
3.5481e-07    4.791e+06    3.548e-07
3.6308e-07    4.682e+06    3.631e-07
3.7154e-07    4.575e+06    3.715e-07
3.8019e-07    4.471e+06    3.802e-07
3.8905e-07    4.369e+06    3.890e-07
3.9811e-07    4.270e+06    3.981e-07
4.0738e-07    4.173e+06    4.074e-07
4.1687e-07    4.078e+06    4.169e-07
4.2658e-07    3.985e+06    4.266e-07
4.3652e-07    3.894e+06    4.365e-07
4.4668e-07    3.805e+06    4.467e-07
4.5709e-07    3.719e+06    4.571e-07
4.6774e-07    3.634e+06    4.677e-07
4.7863e-07    3.551e+06    4.786e-07
4.8978e-07    3.471e+06    4.898e-07
5.0119e-07    3.391e+06    5.012e-07
5.1286e-07    3.314e+06    5.129e-07
5.2481e-07    3.239e+06    5.248e-07
5.3703e-07    3.165e+06    5.370e-07
5.4954e-07    3.093e+06    5.495e-07
5.6234e-07    3.023e+06    5.623e-07
5.7544e-07    2.954e+06    5.754e-07
5.8884e-07    2.887e+06    5.888e-07
6.0256e-07    2.821e+06    6.026e-07
6.1660e-07    2.757e+06    6.166e-07
6.3096e-07    2.694e+06    6.310e-07
6.4565e-07    2.633e+06    6.457e-07
6.6069e-07    2.573e+06    6.607e-07
6.7608e-07    2.514e+06    6.761e-07
6.9183e-07    2.457e+06    6.918e-07
7.0795e-07    2.401e+06    7.079e-07
7.2444e-07    2.346e+06    7.244e-07
7.4131e-07    2.293e+06    7.413e-07
7.5858e-07    2.241e+06    7.586e-07
7.7625e-07    2.190e+06    7.762e-07
7.9433e-07    2.140e+06    7.943e-07
8.1283e-07    2.091e+06    8.128e-07
8.3176e-07    2.043e+06    8.318e-07
8.5114e-07    1.997e+06    8.511e-07
8.7096e-07    1.951e+06    8.710e-07
8.9125e-07    1.907e+06    8.913e-07
9.1201e-07    1.864e+06    9.120e-07
9.3325e-07    1.821e+06    9.333e-07
9.5499e-07    1.780e+06    9.550e-07
9.7724e-07    1.739e+06    9.772e-07
1.0000e-06    1.700e+06    1.000e-06
1.0233e-06    1.661e+06    1.023e-06
1.0471e-06    1.623e+06    1.047e-06
1.0715e-06    1.586e+06    1.072e-06
1.0965e-06    1.550e+06    1.096e-06
1.1220e-06    1.515e+06    1.122e-06
1.1482e-06    1.480e+06    1.148e-06
1.1749e-06    1.446e+06    1.175e-06
1.2023e-06    1.414e+06    1.202e-06
1.2303e-06    1.381e+06    1.230e-06
1.2589e-06    1.350e+06    1.259e-06
1.2882e-06    1.319e+06    1.288e-06
1.3183e-06    1.289e+06    1.318e-06
1.3490e-06    1.260e+06    1.349e-06
1.3804e-06    1.231e+06    1.380e-06
1.4125e-06    1.203e+06    1.413e-06
1.4454e-06    1.176e+06    1.445e-06
1.4791e-06    1.149e+06    1.479e-06
1.5136e-06    1.123e+06    1.514e-06
1.5488e-06    1.097e+06    1.549e-06
1.5849e-06    1.072e+06    1.585e-06
1.6218e-06    1.048e+06    1.622e-06
1.6596e-06    1.024e+06    1.660e-06
1.6982e-06    1.001e+06    1.698e-06
1.7378e-06    9.782e+05    1.738e-06
1.7783e-06    9.559e+05    1.778e-06
